character you 're going to read 96
on the other side of the 49
sign up for the character you 48
up for the character you 're 48
for the character you 're going 47
characters sign up for the character 33
i do n't know what to 31
write your initials next to the 30
your initials next to the character 30
initials next to the character you 30
next to the character you 're 30
to the character you 're going 30
in the middle of the night 28
characters write your initials next to 28
what are you going to do 25
i do n't want to be 23
let 's get out of here 22
well did you understand the play 21
what are we going to do 21
i do n't know what i 20
how well did you understand the 20
i do n't want you to 20
do n't know what to do 19
i do n't want to go 19
i do n't know what you 18
at the other end of the 18
characters sign your name below the 18
sign your name below the character 18
your name below the character you 18
name below the character you 're 18
you 're going to have to 17
below the character you 're going 17
i do n't know how to 16
i do n't know if i 16
do n't know what you 're 16
all you have to do is 15
at the far end of the 15
did n't know what to do 15
what can i do for you 15
what am i going to do 14
to the other side of the 14
did n't know what to say 14
do n't know what to say 14
i do n't think it 's 14
i did n't know what to 14
she took a deep breath and 14
what am i supposed to do 13
at the end of the day 13
so you 'll be ready to 13
you 'll be ready to tackle 13
out of the corner of her 13
but i do n't want to 13
out of the corner of my 13
of the corner of my eye 13
put your knowledge to the test 12
your knowledge to the test with 12
'll be ready to tackle all 12
play skills how well did you 12
skills how well did you understand 12
why did n't you tell me 12
i 'm going to have to 12
i do n't know anything about 11
on the first day of school 11
knowledge to the test with these 11
to the test with these exercises 11
i wo n't be able to 11
of the corner of her eye 11
n't know what you 're talking 11
know what you 're talking about 11
what happens first in the play 11
we 're going to have to 10
at the end of the story 10
once upon a time there was 10
sidebar characters sign up for the 10
for the rest of the day 10
i need to talk to you 10
i do n't know what 's 10
tell the action of the play 10
you wo n't be able to 9
but i did n't want to 9
are you sure you want to 9
context clues to learn these words 9
upon a time there was a 9
for the first time in my 9
which type of question is asked 9
type of question is asked see 9
and i do n't want to 9
i did n't know you were 9
for the rest of my life 9
it 's time for you to 9
i do n't think i can 9
i do n't know why i 9
what 's the matter with you 9
do n't want to talk about 9
do you think you 're doing 9
the corner of my eye i 9
i do n't want to get 9
i think i 'm going to 9
help tell the action of the 9
about it what do you think 9
words the words defined here are 9
the words defined here are in 9
words defined here are in the 9
on a separate sheet of paper 8
do n't know if i can 8
have to get out of here 8
as you read look for context 8
you read look for context clues 8
read look for context clues to 8
look for context clues to learn 8
for context clues to learn these 8
the first time in my life 8
i 'm going to have a 8
you 've got to be kidding 8
if it were n't for the 8
i do n't want to see 8
if it had n't been for 8
did n't want to think about 8
this is going to be a 8
how i wish i were a 8
at the end of the hall 8
by the end of the week 8
put her hands on her hips 8
does n't know what to do 8
it 's going to be a 8
i do n't want to talk 8
there was a knock on the 8
i am the ghost of christmas 8
at the end of the play 8
i 'd like you to meet 8
i ca n't wait to tell 8
sidebar know your words the words 8
know your words the words defined 8
your words the words defined here 8
i 'm so glad you 're 7
by the end of the day 7
for the rest of his life 7
what do i have to do 7
there 's only one way to 7
that 's all there is to 7
's all there is to it 7
got out of the car and 7
for the rest of her life 7
